,TPfixation,TPfixation RA,TPfixation Shuffled,TPheatmap,TPheatmap RA,TPheatmap Shuffled,TPTNfixation,TPTNfixation RA,TPTNfixation Shuffled,TPTNheatmap,TPTNheatmap RA,TPTNheatmap Shuffled,AUCfixation,AUCfixation RA,AUCfixation Shuffled,AUCheatmap,AUCheatmap RA,AUCheatmap Shuffled,IGfixation,IGfixation RA,IGfixation Shuffled,CCheatmap,CCheatmap RA,CCheatmap Shuffled
1059,0.0,0.0,0.0,0.01609657947686117,0.06841046277665996,0.08853118712273642,0.9021130952380952,0.8536309523809524,0.9056845238095238,0.887827380952381,0.8408928571428571,0.8935416666666667,0.45106997232060475,0.4268281794101015,0.4528557397541594,0.4585059521859429,0.46045058679418444,0.49707953791686466,2.1010526e-12,4.829504e-06,3.2611875e-05,-0.02481255028234127,-0.03522764967151689,-0.0012660991350857765
1060,0.5625,0.125,0.0625,0.5331325301204819,0.1536144578313253,0.16415662650602408,0.830595238095238,0.9215476190476191,0.8341964285714286,0.8318452380952381,0.9082142857142858,0.8213392857142857,0.6966114816579324,0.5234635540733683,0.448532039066222,0.685499954640032,0.5385208553426726,0.49937245947598996,0.0009490873,0.0003937264,0.00015791482,0.21809014696513304,0.05824700843569199,-0.0032410053516152538
1061,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.2783300198807157,0.22465208747514911,0.1272365805168986,0.8808035714285715,0.831577380952381,0.8842559523809523,0.8743154761904762,0.8233630952380953,0.8732440476190476,0.5119072425802995,0.6301163932962224,0.5136337927544429,0.5808515676344087,0.528557122083044,0.5059091323287276,0.0002798974,0.00031112222,0.000108902765,0.06445191432769146,0.037765406487067825,0.006159926204765622
1062,1.0,1.0,0.25,0.67,0.762,0.08,0.9010119047619047,0.908125,0.9032738095238095,0.905952380952381,0.9158035714285714,0.8908333333333334,0.9505000595308966,0.9540570305988808,0.5766757947374688,0.7897583081570997,0.8400634441087613,0.49154078549848945,0.00028328312,0.00030916816,7.139015e-05,0.2582471955145694,0.25177859495789673,4.369766629168348e-05
1063,1.0,0.0,0.05555555555555555,0.722027972027972,0.2097902097902098,0.08391608391608392,0.9148511904761905,0.8208333333333333,0.9152678571428572,0.921875,0.8114880952380953,0.9015773809523809,0.9574027752962897,0.4106366505866238,0.4856421098604411,0.8236820252534193,0.5158494466657237,0.49982712273798624,0.0012720338,2.5883843e-05,0.00020404342,0.30728105771027536,0.030002845372507157,-0.001221363674563527
1064,0.0,0.0,0.0,0.21764705882352942,0.3941176470588235,0.1607843137254902,0.8520833333333333,0.855922619047619,0.8551785714285715,0.8436309523809524,0.852827380952381,0.845,0.4260923919514228,0.4280122633646863,0.4276401952613406,0.5354629975290207,0.6270074484916359,0.5081648978721135,0.00013012887,5.5618242e-05,-2.6527323e-06,0.056876197846484886,0.09528221102896976,0.0022555423166975425
1065,0.0,0.3333333333333333,0.3333333333333333,0.4386317907444668,0.4124748490945674,0.10261569416498995,0.8896726190476191,0.8613392857142858,0.8922321428571428,0.8879464285714286,0.8587797619047619,0.8805059523809524,0.44487603059797004,0.5973598833229157,0.6128076911629015,0.6666620573515102,0.6389776595712996,0.4974003462517546,0.000114254464,0.00010643471,9.309847e-05,0.17951844664533234,0.07782865792004943,-0.0019636133571266303
1066,0.5,1.0,0.0,0.4402390438247012,0.850597609561753,0.17729083665338646,0.8297619047619048,0.9276190476190476,0.8327380952380953,0.8279761904761904,0.9380357142857143,0.8231547619047619,0.6648907673075778,0.9638073694862789,0.416393832966248,0.6370480372304967,0.8949797522701507,0.5051207340557403,8.949512e-05,0.00018700256,4.5355187e-06,0.12344552987431809,0.5343819784086363,0.0019574968540100822
1067,1.0,1.0,0.0,0.75,0.448,0.102,0.9033333333333333,0.8924702380952381,0.9053869047619048,0.910625,0.8907738095238096,0.8936904761904761,0.9516594731358834,0.9462271171305254,0.45276082750409286,0.8315256797583082,0.6727311178247735,0.5038247734138973,0.00040674448,0.00044441994,5.8245416e-05,0.4066200288017804,0.2208635148741462,0.00710260812813496
1068,1.0,0.0,1.0,0.7649402390438247,0.32270916334661354,0.1294820717131474,0.8587797619047619,0.8880654761904762,0.8619642857142857,0.8666369047619048,0.882827380952381,0.8508333333333333,0.9293856777189118,0.4440591701887017,0.9309780344068099,0.8165597926139421,0.6070159509403319,0.49562809851897016,0.00013766324,3.5198552e-06,0.00012529892,0.3116934600790529,0.07956305679856869,0.002815944604208088
1069,0.4444444444444444,0.2222222222222222,0.0,0.4211136890951276,0.0765661252900232,0.04524361948955916,0.9498511904761905,0.8201190476190476,0.950297619047619,0.9458928571428571,0.7988392857142858,0.9277678571428571,0.6973510459794081,0.5214110545180155,0.4755309325946445,0.6904120586718231,0.44721152498235656,0.4981242839337954,0.0011102662,0.00042541453,0.00012735432,0.47508727603807654,0.033950341977720025,0.0018052186885706273
1070,0.21621621621621623,0.2702702702702703,0.08108108108108109,0.24070945945945946,0.44594594594594594,0.13175675675675674,0.850922619047619,0.8842261904761904,0.8527976190476191,0.8332738095238095,0.880922619047619,0.8277678571428572,0.533919269208129,0.5775866442374203,0.46736472193076195,0.5478133921186734,0.6713780815613245,0.492473269790027,0.0009626529,0.0010083274,0.00051001634,0.11123510869246617,0.22643854838188868,-0.007207687023600391
1071,0.0,0.3,0.0,0.2193126022913257,0.41898527004909986,0.15548281505728315,0.8509523809523809,0.8427380952380953,0.853125,0.8413392857142857,0.8400297619047619,0.8411904761904762,0.4257296009529482,0.5715306730196544,0.42681655747468733,0.5360863232742511,0.6334066669745939,0.5046867529468112,0.00039036165,0.00086505513,0.00021737153,0.021955121865235766,0.11021444833691454,0.004161749587165282
1072,1.0,0.0,0.0,0.44621513944223107,0.4063745019920319,0.07768924302788845,0.9178273809523809,0.9092559523809524,0.919345238095238,0.9161607142857143,0.9065178571428572,0.9067857142857143,0.9589112447169474,0.4546550389904161,0.45969998214179414,0.6847517778303669,0.660239036602397,0.4985249647370997,0.000102639526,1.255491e-05,4.2428772e-05,0.19918873223921335,0.11500586865878208,0.002873310338155345
1073,1.0,0.0,0.0,0.44621513944223107,0.2051792828685259,0.06374501992031872,0.9178273809523809,0.8291964285714286,0.919345238095238,0.9161607142857143,0.8204464285714286,0.9063690476190476,0.9589112447169474,0.41462289421989407,0.45969998214179414,0.6847517778303669,0.5174787586014634,0.49144710661252505,0.000102639526,1.9472092e-05,1.651638e-06,0.19918873223921335,0.017562744925725828,-0.004897703665460021
1074,0.12,0.16,0.2,0.3530895334174023,0.45397225725094575,0.08196721311475409,0.9156845238095238,0.8903869047619047,0.918779761904762,0.9093154761904761,0.8887202380952381,0.8994940476190476,0.5181384959046911,0.5254653760238271,0.5596574832464631,0.6379249599601414,0.6766005401839817,0.5006111250747667,0.0004372907,0.00050908385,0.00040611712,0.14590268749453184,0.16476240946853382,0.00011956617824455997
